flip_mode,hash_bits,flip_count,key_id,fully_corrected,mismatched_before,mismatched_after,correction_steps,total_combos_evaluated,total_nodes_visited,max_flip_level_reached,nodes_with_no_correction
random,16,7,7,1,11,0,5,4357,5,2,0
random,16,7,8,1,11,0,5,4357,5,2,0
random,16,7,9,1,13,0,6,2406,6,2,0
random,16,7,10,1,11,0,4,45956,4,3,0
random,16,7,11,1,13,0,7,455,7,1,0
random,16,7,12,1,11,0,5,44005,5,3,0
random,16,7,13,1,11,0,5,4357,5,2,0
random,16,7,14,1,11,0,5,44005,5,3,0
random,16,7,15,1,12,0,7,455,7,1,0
random,16,7,16,1,11,0,6,2406,6,2,0
random,16,7,17,1,12,0,6,2406,6,2,0
random,16,7,18,1,11,0,5,4357,5,2,0
random,16,7,19,1,14,0,7,455,7,1,0
random,16,8,0,1,14,0,8,520,8,1,0
random,16,8,1,1,9,0,5,46021,5,3,0
random,16,8,2,1,13,0,7,2471,7,2,0
random,16,8,3,1,12,0,7,2471,7,2,0
random,16,8,4,1,12,0,5,46021,5,3,0
random,16,8,5,1,14,0,7,2471,7,2,0
random,16,8,6,1,9,0,5,6373,5,2,0
random,16,8,7,1,12,0,6,44070,6,3,0
random,16,8,8,1,13,0,8,520,8,1,0
random,16,8,9,1,13,0,7,2471,7,2,0
random,16,8,10,1,13,0,7,2471,7,2,0
random,16,8,11,1,13,0,6,44070,6,3,0
random,16,8,12,1,14,0,7,2471,7,2,0
random,16,8,13,1,12,0,6,4422,6,2,0
random,16,8,14,1,13,0,7,2471,7,2,0
random,16,8,15,1,13,0,6,44070,6,3,0
random,16,8,16,1,13,0,5,6373,5,2,0
random,16,8,17,1,12,0,5,679381,5,4,0
random,16,8,18,1,12,0,6,44070,6,3,0
random,16,8,19,1,14,0,7,2471,7,2,0
random,16,9,0,1,12,0,5,48037,5,3,0
random,16,9,1,1,15,0,8,2536,8,2,0
random,16,9,2,1,16,0,8,2536,8,2,0
random,16,9,3,1,13,0,5,681397,5,4,0
random,16,9,4,1,14,0,7,4487,7,2,0
random,16,9,5,1,14,0,7,4487,7,2,0
random,16,9,6,1,13,0,8,2536,8,2,0
random,16,9,7,1,17,0,9,585,9,1,0
random,16,9,8,1,15,0,7,4487,7,2,0
random,16,9,9,1,15,0,8,2536,8,2,0
random,16,9,10,1,15,0,7,4487,7,2,0
random,16,9,11,1,12,0,6,6438,6,2,0
random,16,9,12,1,15,0,7,4487,7,2,0
random,16,9,13,1,14,0,7,4487,7,2,0
random,16,9,14,1,15,0,7,44135,7,3,0
random,16,9,15,1,15,0,8,2536,8,2,0
random,16,9,16,1,12,0,6,46086,6,3,0
random,16,9,17,1,16,0,7,4487,7,2,0
random,16,9,18,1,13,0,6,46086,6,3,0
random,16,9,19,1,12,0,6,6438,6,2,0
random,16,10,0,1,15,0,7,6503,7,2,0
random,16,10,1,1,14,0,7,6503,7,2,0
random,16,10,2,1,12,0,5,50053,5,3,0
random,16,10,3,1,15,0,7,6503,7,2,0
random,16,10,4,1,16,0,9,2601,9,2,0
random,16,10,5,1,16,0,7,6503,7,2,0
random,16,10,6,1,18,0,9,2601,9,2,0
random,16,10,7,1,16,0,8,4552,8,2,0
random,16,10,8,1,13,0,7,679511,7,4,0
random,16,10,9,1,15,0,8,4552,8,2,0
random,16,10,10,1,14,0,11,46411,11,3,0
random,16,10,11,1,18,0,10,650,10,1,0
random,16,10,12,1,15,0,8,4552,8,2,0
random,16,10,13,1,13,0,8,4552,8,2,0
random,16,10,14,1,18,0,9,2601,9,2,0
random,16,10,15,1,14,0,7,46151,7,3,0
random,16,10,16,1,17,0,8,4552,8,2,0
random,16,10,17,1,15,0,7,6503,7,2,0
random,16,10,18,1,17,0,8,44200,8,3,0
random,16,10,19,1,13,0,6,48102,6,3,0
